PGNIE,ABNE,CPRF,RCFF,ERROPGNIE,ERROABNE,ERROCPRF,ERRORCFF
0,0,0.0039364323797,0.0463497990887,0,0,0.0001593095006,0.0017413201764
0,2.55E-06,0.0036802952828,0.0475401413484,0,4.68E-06,0.0002241194382,0.0018752108672
0,1.58E-05,0.0037763602589,0.0499409708127,0,1.72E-05,0.0002090059689,0.0009879655751
3.87E-06,2.67E-05,0.0039674750931,0.0524020365166,5.90E-06,2.80E-05,0.0002797931288,0.0006494168989
1.72E-06,5.35E-05,0.0045312114875,0.0566157578986,3.05E-06,2.57E-05,0.0002760897458,0.0026029078321
3.78E-05,0.0001772299969,0.0048485261242,0.0576264818035,2.19E-05,4.38E-05,0.000309572026,0.00232517015
0.0001030254432,0.0003658899345,0.0051269985148,0.0576483334701,3.85E-05,6.92E-05,0.0002066039006,0.0017486178803
