PGNIE,ABNE,CPRF,RCFF,ERROPGNIE,ERROABNE,ERROCPRF,ERRORCFF
0,0,0.001173772785744,0.022944595119398,0,0,9.55E-05,0.001095543690301
0,8.92E-07,0.0013700031315,0.023992499659063,0,1.25E-06,0.000223923704498,0.000756339393641
5.13E-06,2.71E-06,0.00136582189432,0.026245021116148,6.87E-06,5.31E-06,9.14E-05,0.000349883907853
1.56E-06,2.79E-05,0.001393809032592,0.028093254557445,3.05E-06,1.32E-05,0.000164342842719,0.001227239708547
2.68E-06,5.34E-05,0.001518648761705,0.029578412843035,2.49E-06,2.3E-05,0.00022782633747,0.000519760370492
5.68E-05,0.000123948023544,0.001790907488834,0.03010202513758,3.33E-05,4.2E-05,0.00022189276477,0.000557279453545
0.000398324932872,0.000299025779885,0.002479191724543,0.031609534310177,0.000167607818925,7.14E-05,0.000336177122582,0.000917467768205
