PGNIE,ABNE,CPRF,RCFF,ERROPGNIE,ERROABNE,ERROCPRF,ERRORCFF
0,0,0.001070831592144,0.019742715495954,0,0,0.000126792103161,0.000688670495209
0,1.9E-06,0.001056585495574,0.021079474224063,0,2.48E-06,0.000175671033677,0.000410400688899
1.9E-06,2.85E-06,0.001037590700148,0.022888728488394,2.48E-06,5.58E-06,4.52E-05,0.000364056203381
9.5E-07,1.33E-05,0.001132564677278,0.024018918816244,1.86E-06,6.33E-06,0.000118065560748,0.000301015294494
3.8E-06,4.37E-05,0.001153933822133,0.025607358583748,3.04E-06,1.45E-05,9.89E-05,0.000325122576863
3.42E-05,7.98E-05,0.001339133077537,0.026196197241956,1.65E-05,2.32E-05,6.88E-05,0.000674178352697
0.000239334422368,0.000185199255404,0.001740398130912,0.027808380503742,0.000102738567717,3.57E-05,9.23E-05,0.000403983073976
