PGNIE,ABNE,ERROPGNIE,ERROABNE
0.000172798546517,0.004601378438691,2.85E-05,2.85E-05
0.000144163358809,0.005006220747675,2.76E-05,2.76E-05
0.000173785966783,0.004769239883879,1.87E-05,1.87E-05
0.000149100460138,0.005193830598179,2.52E-05,2.52E-05
0.000239943124593,0.005677666528428,3.13E-05,3.13E-05
0.000777099749195,0.006546596362344,7.87E-05,7.87E-05
0.002903015581492,0.00921263108004,0.000226724010012,0.000226724010012
